month,data
2013-10,8
2013-11,19
2013-12,20
2014-01,25
2014-02,20
2014-03,19
2014-04,14
2014-05,17
2014-06,17
2014-07,26
2014-08,40
2014-09,33
2014-10,15
2014-11,22
2014-12,19
2015-01,23
2015-02,20
2015-03,28
2015-04,29
2015-05,21
2015-06,22
2015-07,24
2015-08,25
2015-09,22
2015-10,25
2015-11,25
2015-12,28
2016-01,33
2016-02,32
2016-03,26
2016-04,45
2016-05,39
2016-06,33
2016-07,35
2016-08,26
2016-09,25
2016-10,36
2016-11,42
2016-12,41
2017-01,42
2017-02,35
2017-03,35
2017-04,43
2017-05,44
2017-06,44
2017-07,38
2017-08,40
2017-09,41
2017-10,47
2017-11,47
2017-12,57
2018-01,49
2018-02,39
2018-03,42
2018-04,43
2018-05,41
2018-06,41
2018-07,43
2018-08,59
2018-09,54
2018-10,52
2018-11,48
2018-12,62
2019-01,60
2019-02,56
2019-03,60
2019-04,60
2019-05,52
2019-06,69
2019-07,67
2019-08,60
2019-09,62
2019-10,73
2019-11,84
2019-12,94
2020-01,85
2020-02,80
2020-03,83
2020-04,74
2020-05,75
2020-06,64
2020-07,74
2020-08,70
2020-09,79
2020-10,81
2020-11,71
2020-12,67
2021-01,75
2021-02,75
2021-03,71
2021-04,95
2021-05,78
2021-06,69
2021-07,69
2021-08,65
2021-09,60
2021-10,67
2021-11,66
2021-12,78
2022-01,77
2022-02,75
2022-03,75
2022-04,74
2022-05,69
2022-06,61
2022-07,71
2022-08,78
2022-09,65
2022-10,63
2022-11,71
2022-12,67
2023-01,77
2023-02,70
2023-03,77
2023-04,89
2023-05,79
2023-06,91
2023-07,98
2023-08,93
2023-09,98
2023-10,100
