month,data
2013-10,21
2013-11,22
2013-12,24
2014-01,18
2014-02,12
2014-03,17
2014-04,21
2014-05,20
2014-06,19
2014-07,14
2014-08,13
2014-09,18
2014-10,19
2014-11,22
2014-12,23
2015-01,16
2015-02,11
2015-03,18
2015-04,22
2015-05,19
2015-06,19
2015-07,12
2015-08,10
2015-09,17
2015-10,20
2015-11,20
2015-12,21
2016-01,16
2016-02,11
2016-03,17
2016-04,17
2016-05,18
2016-06,17
2016-07,9
2016-08,12
2016-09,13
2016-10,17
2016-11,18
2016-12,20
2017-01,16
2017-02,13
2017-03,19
2017-04,21
2017-05,18
2017-06,19
2017-07,15
2017-08,14
2017-09,19
2017-10,18
2017-11,23
2017-12,19
2018-01,19
2018-02,13
2018-03,21
2018-04,20
2018-05,21
2018-06,18
2018-07,13
2018-08,14
2018-09,17
2018-10,20
2018-11,19
2018-12,20
2019-01,16
2019-02,11
2019-03,18
2019-04,20
2019-05,20
2019-06,20
2019-07,18
2019-08,21
2019-09,26
2019-10,25
2019-11,27
2019-12,25
2020-01,17
2020-02,19
2020-03,23
2020-04,26
2020-05,26
2020-06,33
2020-07,51
2020-08,49
2020-09,45
2020-10,31
2020-11,44
2020-12,42
2021-01,39
2021-02,36
2021-03,46
2021-04,51
2021-05,43
2021-06,36
2021-07,44
2021-08,42
2021-09,53
2021-10,53
2021-11,67
2021-12,55
2022-01,65
2022-02,71
2022-03,85
2022-04,78
2022-05,75
2022-06,76
2022-07,67
2022-08,78
2022-09,77
2022-10,75
2022-11,88
2022-12,82
2023-01,65
2023-02,82
2023-03,90
2023-04,88
2023-05,100
2023-06,81
2023-07,97
2023-08,100
2023-09,97
2023-10,97
