month,data
2013-10,0
2013-11,0
2013-12,0
2014-01,7
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,11
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,7
2015-09,0
2015-10,14
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,23
2016-06,5
2016-07,0
2016-08,4
2016-09,4
2016-10,0
2016-11,14
2016-12,0
2017-01,0
2017-02,0
2017-03,6
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,3
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,3
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,7
2019-06,0
2019-07,0
2019-08,5
2019-09,0
2019-10,4
2019-11,0
2019-12,7
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,0
2020-10,7
2020-11,0
2020-12,3
2021-01,0
2021-02,3
2021-03,0
2021-04,11
2021-05,8
2021-06,12
2021-07,12
2021-08,15
2021-09,17
2021-10,32
2021-11,40
2021-12,40
2022-01,53
2022-02,42
2022-03,95
2022-04,97
2022-05,79
2022-06,67
2022-07,66
2022-08,63
2022-09,62
2022-10,92
2022-11,74
2022-12,86
2023-01,56
2023-02,73
2023-03,100
2023-04,86
2023-05,76
2023-06,62
2023-07,79
2023-08,90
2023-09,83
2023-10,73
