month,data
2013-10,32
2013-11,35
2013-12,25
2014-01,23
2014-02,17
2014-03,28
2014-04,33
2014-05,27
2014-06,30
2014-07,21
2014-08,9
2014-09,15
2014-10,25
2014-11,27
2014-12,26
2015-01,23
2015-02,11
2015-03,23
2015-04,28
2015-05,32
2015-06,51
2015-07,33
2015-08,24
2015-09,28
2015-10,25
2015-11,43
2015-12,32
2016-01,33
2016-02,18
2016-03,23
2016-04,27
2016-05,29
2016-06,29
2016-07,15
2016-08,15
2016-09,18
2016-10,24
2016-11,33
2016-12,22
2017-01,20
2017-02,22
2017-03,31
2017-04,29
2017-05,30
2017-06,35
2017-07,16
2017-08,15
2017-09,25
2017-10,21
2017-11,27
2017-12,19
2018-01,37
2018-02,14
2018-03,24
2018-04,22
2018-05,25
2018-06,34
2018-07,11
2018-08,18
2018-09,16
2018-10,24
2018-11,29
2018-12,21
2019-01,30
2019-02,13
2019-03,23
2019-04,27
2019-05,24
2019-06,21
2019-07,17
2019-08,18
2019-09,23
2019-10,21
2019-11,23
2019-12,26
2020-01,26
2020-02,13
2020-03,25
2020-04,27
2020-05,24
2020-06,30
2020-07,22
2020-08,20
2020-09,19
2020-10,20
2020-11,25
2020-12,26
2021-01,28
2021-02,18
2021-03,26
2021-04,32
2021-05,34
2021-06,45
2021-07,26
2021-08,22
2021-09,29
2021-10,41
2021-11,39
2021-12,38
2022-01,48
2022-02,41
2022-03,59
2022-04,70
2022-05,82
2022-06,89
2022-07,62
2022-08,64
2022-09,60
2022-10,65
2022-11,61
2022-12,61
2023-01,55
2023-02,92
2023-03,83
2023-04,78
2023-05,94
2023-06,80
2023-07,88
2023-08,100
2023-09,84
2023-10,93
